industry,anchor_symbol
web3,LINK
data-availability,SYS
lending-borowing,MKR
synthetics,SNX
reputation,REV
metaverse,THETA
blake2b,SC
research,ADA
content-creation,ATOM
state-channel,MATIC
asset-management,VGX
education,LEDU
ai-big-data,THETA
medium-of-exchange,XRP
distributed-computing,THETA
x13,CLOAK
communications-social-media,LIKE
cryptonight,BCN
vr-ar,THETA
memes,XRP
pow,DOGE
zero-knowledge-proofs,MATIC
political-memes,DOGE
wallet,LRC
hybrid-pow-pos,DASH
oracles,LINK
2017-2018-alt-season,XRP
hardware,IOST
derivatives,FTT
layer-1,ETH
play-to-earn,MANA
ringct,XMR
mobile,CRO
spartan-group,MKR
fan-token,APL
data-provenance,VET
quantum-resistant,QRL
equihash,ZEC
dao,MKR
ftx-bankruptcy-estate,ETH
hybrid-dpow-pow,ARRR
payments,BNB
binance-launchpad,MATIC
dag,XNO
sports,CHZ
smart-contracts,ETH
centralized-exchange,BNB
dpos,ADA
polkadot,LINK
store-of-value,BCH
marketplace,BNB
sharing-economy,THETA
depin,THETA
mimblewimble,BEAM
health,MED
filesharing,SC
account-abstraction,SAFE
celsius-bankruptcy-estate,BNB
rollups,ARB
services,SNX
iot,VET
layer-2,MATIC
analytics,BIRD
binance-alpha,RIF
rehypothecated-crypto,WBTC
scrypt,DOGE
yearn-partnerships,AKRO
platform,ADA
arbitrum-ecosytem,WBTC
logistics,VET
neoscrypt,FTC
entertainment,THETA
soccer,APL
sha-256,BCH
scaling,MATIC
hospitality,JET
cardano,ADA
real-world-assets,LINK
liquid-staking-derivatives,ANKR
sec-security-token,BNB
crowdfunding,RVN
interoperability,ATOM
masternodes,DASH
events,GET
binance-launchpool,BEAM
token,LRC
staking,ADA
cat-themed,SC
video,THETA
energy,POWR
multiple-algorithms,DGB
social-token,LIKE
dapp,ARB
decentralized-exchange-dex-token,XLM
tourism,JET
collectibles-nfts,THETA
identity,ONT
made-in-america,XRP
parafi-capital,SNX
eos,EOS
x11,DASH
privacy,XMR
real-estate,PRO
dao-maker,LTO
retail,PART
media,TRX
gambling,FUN
amm,LRC
desci,TRAC
gaming,MANA
yield-farming,RUNE
mineable,DOGE
prediction-markets,STX
cybersecurity,QSP
pos,ETH
marketing,BAT
enterprise-solutions,XRP
alleged-sec-securities,BNB
e-commerce,UQC
generative-ai,FET
doggone-doggerel,DOGE
dex,RUNE
governance,MKR
loyalty,STMX
substrate,LINK
ai-agents,FET
defi,WBTC
storage,SC
music,CEEK
discount-token,LEO
atomic-swaps,KMD
